person_id,year,wage_hourly,ln_wage,age,education_years,experience,experience_sq,gender,race,region,industry,occupation,employed,union_member,firm_size,part_time,tenure_years,hours_week,health_status,married,children,urban
1001,2015,18.50,2.918,28,14,6,36,Male,White,Northeast,Manufacturing,Operative,1,0,Large,0,2,40,Good,0,0,1
1001,2016,19.25,2.957,29,14,7,49,Male,White,Northeast,Manufacturing,Operative,1,0,Large,0,3,40,Good,0,0,1
1001,2017,20.10,2.999,30,14,8,64,Male,White,Northeast,Manufacturing,Operative,1,1,Large,0,4,40,Good,1,0,1
1001,2018,21.40,3.063,31,14,9,81,Male,White,Northeast,Manufacturing,Operative,1,1,Large,0,5,42,Good,1,1,1
1001,2019,22.80,3.126,32,14,10,100,Male,White,Northeast,Manufacturing,Operative,1,1,Large,0,6,42,Good,1,1,1
1001,2020,21.00,3.045,33,14,11,121,Male,White,Northeast,Manufacturing,Operative,0,0,Large,0,0,0,Good,1,1,1
1001,2021,23.50,3.157,34,14,12,144,Male,White,Northeast,Manufacturing,Operative,1,1,Large,0,1,40,Good,1,1,1
1001,2022,25.00,3.219,35,14,13,169,Male,White,Northeast,Manufacturing,Operative,1,1,Large,0,2,40,Good,1,2,1
1002,2015,12.75,2.545,22,12,2,4,Female,Black,South,Retail,Sales Worker,1,0,Small,1,1,25,Good,0,0,1
1002,2016,13.20,2.580,23,12,3,9,Female,Black,South,Retail,Sales Worker,1,0,Small,1,2,25,Good,0,0,1
1002,2017,13.80,2.625,24,12,4,16,Female,Black,South,Retail,Sales Worker,1,0,Medium,1,3,28,Good,0,0,1
1002,2018,14.50,2.674,25,12,5,25,Female,Black,South,Retail,Sales Worker,1,0,Medium,0,4,35,Good,1,0,1
1002,2019,15.20,2.721,26,12,6,36,Female,Black,South,Retail,Sales Worker,1,0,Medium,0,5,38,Good,1,1,1
1002,2020,14.00,2.639,27,12,7,49,Female,Black,South,Retail,Sales Worker,1,0,Medium,0,6,35,Fair,1,1,1
1002,2021,15.80,2.760,28,12,8,64,Female,Black,South,Retail,Sales Worker,1,0,Medium,0,7,38,Good,1,1,1
1002,2022,16.50,2.803,29,12,9,81,Female,Black,South,Retail,Sales Worker,1,0,Medium,0,8,40,Good,1,2,1
1003,2015,35.00,3.555,38,16,14,196,Male,White,Midwest,Finance,Manager,1,0,Large,0,8,45,Excellent,1,2,1
1003,2016,37.50,3.624,39,16,15,225,Male,White,Midwest,Finance,Manager,1,0,Large,0,9,45,Excellent,1,2,1
1003,2017,39.00,3.664,40,16,16,256,Male,White,Midwest,Finance,Manager,1,0,Large,0,10,45,Excellent,1,2,1
1003,2018,42.00,3.738,41,16,17,289,Male,White,Midwest,Finance,Manager,1,0,Large,0,11,47,Good,1,3,1
1003,2019,45.00,3.807,42,16,18,324,Male,White,Midwest,Finance,Manager,1,0,Large,0,12,48,Good,1,3,1
1003,2020,44.00,3.784,43,16,19,361,Male,White,Midwest,Finance,Manager,1,0,Large,0,13,44,Good,1,3,1
